parent_tree,parent_text,parent_type,left_tree,left_text,left_type,right_tree,right_text,right_type,cc_tree,cc_text,base_text,parent_funnel,left_funnel,right_funnel,same_type,same_funnel,clausal_coord,corrective,anchored,left_sent,base_sent,right_sent,cosine,left_vad,left_valence,left_arousal,left_dominance,right_vad,right_valence,right_arousal,right_dominance,vad_cosine,vad_distance
"(S
  (S
    (NP (PRP he))
    (VP
      (VBD did)
      (RB n't)
      (VP
        (VB make)
        (NP (PRP it))
        (PP (IN to) (NP (DT the) (NN weekend))))))
  (CC but)
  (S
    (S
      (ADVP (RB simply))
      (IN by)
      (S
        (VP
          (VBG playing)
          (NP (PRP$ his) (NN way))
          (PP (IN from) (NP (NN zambia)))
          (PP
            (IN to)
            (NP
              (NP (VBN winged) (NN foot))
              (FW madalitso)
              (NNP muthiya))))))
    (VP
      (VBD was)
      (NP (DT a) (JJ big) (NN winner))
      (PP (IN at) (NP (DT the) (JJ u.s.) (NN open))))))",he did n't make it to the weekend but simply by playing his way from zambia to winged foot madalitso muthiya was a big winner at the u.s. open,S,"(S
  (S
    (NP (PRP he))
    (VP
      (VBD did)
      (RB n't)
      (VP
        (VB make)
        (NP (PRP it))
        (PP (IN to) (NP (DT the) (NN weekend)))))))",he did n't make it to the weekend,S,"(S
  (S
    (S
      (ADVP (RB simply))
      (IN by)
      (S
        (VP
          (VBG playing)
          (NP (PRP$ his) (NN way))
          (PP (IN from) (NP (NN zambia)))
          (PP
            (IN to)
            (NP
              (NP (VBN winged) (NN foot))
              (FW madalitso)
              (NNP muthiya))))))
    (VP
      (VBD was)
      (NP (DT a) (JJ big) (NN winner))
      (PP (IN at) (NP (DT the) (JJ u.s.) (NN open))))))",simply by playing his way from zambia to winged foot madalitso muthiya was a big winner at the u.s. open,S,(CC but),but,he did n't make it to the weekend but simply by playing his way from zambia to winged foot madalitso muthiya was a big winner at the u.s. open,S,S,S,True,True,True,True,True,-0.9968305230140686,0.79307621717453,0.9885548949241638,,[0.764  0.5225 0.4995],0.764,0.5225,0.4995,[0.64757143 0.43714286 0.55042857],0.6475714285714285,0.43714285714285717,0.5504285714285714,0.9929304705285973,0.1530855103182132
"(S
  (SBAR (S (NP (PRP he)) (VP (VBD had) (VP (VBN missed)))))
  (CC but)
  (PP
    (ADVP (RB right))
    (IN in)
    (NP (NP (DT the) (NN thick)) (PP (IN of) (NP (NNS things))))))",he had missed but right in the thick of things,S,(SBAR (SBAR (S (NP (PRP he)) (VP (VBD had) (VP (VBN missed)))))),he had missed,SBAR,"(PP
  (PP
    (ADVP (RB right))
    (IN in)
    (NP (NP (DT the) (NN thick)) (PP (IN of) (NP (NNS things))))))",right in the thick of things,PP,(CC but),but,muthiya made the turn last thursday at four over smarting at the three birdie putts he had missed but right in the thick of things,S,S,P,False,False,False,False,False,-0.9708051681518555,-0.854823887348175,-0.8393042683601379,,[nan nan nan],,,,[0.56933333 0.345      0.558     ],0.5693333333333334,0.345,0.5579999999999999,,
(ADJP (JJ left) (CC and) (JJ right)),left and right,ADJP,(JJ (JJ left)),left,JJ,(JJ (JJ right)),right,JJ,(CC and),and,consistently left and right,J,J,J,True,True,False,False,False,-0.9899006485939026,0.9770306348800659,0.9895903468132019,0.49213990569114685,[0.354 0.37  0.361],0.354,0.37,0.361,[0.74  0.352 0.71 ],0.74,0.352,0.71,0.9546536782588101,0.5206928077091136
"(S
  (S
    (NP (NN muthiya))
    (VP
      (MD would)
      (VP
        (VB miss)
        (NP (DT the) (NN cut))
        (PP (IN by) (NP (DT a) (NN dozen) (NNS strokes)))
        (PP (IN after) (NP (DT an) (CD 80)))
        (PP (IN on) (NP (NN friday))))))
  (CC yet)
  (S
    (NP (PRP he))
    (VP
      (VBD was)
      (NP
        (NP (DT the) (NN picture))
        (PP (IN of) (NP (NN class) (CC and) (NN composure)))))))",muthiya would miss the cut by a dozen strokes after an 80 on friday yet he was the picture of class and composure,S,"(S
  (S
    (NP (NN muthiya))
    (VP
      (MD would)
      (VP
        (VB miss)
        (NP (DT the) (NN cut))
        (PP (IN by) (NP (DT a) (NN dozen) (NNS strokes)))
        (PP (IN after) (NP (DT an) (CD 80)))
        (PP (IN on) (NP (NN friday)))))))",muthiya would miss the cut by a dozen strokes after an 80 on friday,S,"(S
  (S
    (NP (PRP he))
    (VP
      (VBD was)
      (NP
        (NP (DT the) (NN picture))
        (PP (IN of) (NP (NN class) (CC and) (NN composure)))))))",he was the picture of class and composure,S,(CC yet),yet,muthiya would miss the cut by a dozen strokes after an 80 on friday yet he was the picture of class and composure,S,S,S,True,True,True,False,False,-0.9969774484634399,0.9933412671089172,0.9989008903503418,,[0.5526 0.4292 0.3988],0.5526,0.42919999999999997,0.3988,[0.724      0.32533333 0.567     ],0.7240000000000001,0.3253333333333333,0.5670000000000001,0.9748411560344157,0.26164381216540267
(NP (NN class) (CC and) (NN composure)),class and composure,NP,(NN (NN class)),class,NN,(NN (NN composure)),composure,NN,(CC and),and,muthiya would miss the cut by a dozen strokes after an 80 on friday yet he was the picture of class and composure,N,N,N,True,True,False,False,False,0.9875482320785522,0.9933412671089172,0.9969423413276672,0.05712122842669487,[0.656 0.314 0.522],0.656,0.314,0.522,[0.802 0.354 0.717],0.802,0.354,0.717,0.997717922768367,0.24686230980042292
"(VP
  (VBD understood)
  (CC and)
  (VBD embraced)
  (NP
    (NP (DT the) (NN significance))
    (PP
      (IN of)
      (S
        (VP
          (VBG being)
          (NP
            (NP (DT the) (JJ first) (JJ black) (JJ african))
            (SBAR
              (S
                (VP
                  (TO to)
                  (VP
                    (VB play)
                    (PP (IN in) (NP (DT the) (JJ u.s.) (NN open)))))))))))))",understood and embraced the significance of being the first black african to play in the u.s. open,VP,(VBD (VBD understood)),understood,VBD,(VBD (VBD embraced)),embraced,VBD,(CC and),and,he told reporters after the first round that while he wanted to be known as a golfer he understood and embraced the significance of being the first black african to play in the u.s. open,V,V,V,True,True,False,False,False,0.9939156174659729,0.9908281564712524,0.9960588216781616,0.4056881070137024,[0.78  0.441 0.686],0.78,0.441,0.686,[nan nan nan],,,,,
(NP (FW wongani) (CC and) (NN madalitso)),wongani and madalitso,NP,(FW (FW wongani)),wongani,FW,(NN (NN madalitso)),madalitso,NN,(CC and),and,in 1980 peter muthiya married edith siame who bore him two sons wongani and madalitso and a daughter named ivwananji,N,X,N,False,False,False,False,False,0.5034370422363281,0.9878684878349304,0.5714073181152344,,[nan nan nan],,,,[nan nan nan],,,,,
"(NP
  (NP
    (NP (CD two) (NNS sons))
    (NP (FW wongani) (CC and) (NN madalitso)))
  (CC and)
  (NP
    (NP (DT a) (NN daughter))
    (VP (VBN named) (S (NP (FW ivwananji))))))",two sons wongani and madalitso and a daughter named ivwananji,NP,"(NP
  (NP
    (NP (CD two) (NNS sons))
    (NP (FW wongani) (CC and) (NN madalitso))))",two sons wongani and madalitso,NP,"(NP
  (NP
    (NP (DT a) (NN daughter))
    (VP (VBN named) (S (NP (FW ivwananji))))))",a daughter named ivwananji,NP,(CC and),and,in 1980 peter muthiya married edith siame who bore him two sons wongani and madalitso and a daughter named ivwananji,N,N,N,True,True,False,False,False,0.9987032413482666,0.9878684878349304,0.994390070438385,,[0.52  0.2   0.404],0.52,0.2,0.404,[0.735  0.4055 0.51  ],0.7350000000000001,0.40549999999999997,0.51,0.9902047864433093,0.3157392120088983
"(NP
  (NP (PRP$ their) (NN father))
  (NNS wongani)
  (CC and)
  (NNP madalitso))",their father wongani and madalitso,NP,(NNS (NNS wongani)),wongani,NNS,(NNP (NNP madalitso)),madalitso,NNP,(CC and),and,unbeknownst to their father wongani and madalitso would chip balls around the yard,N,N,N,False,True,False,False,False,0.5034370422363281,-0.9316720962524414,0.5714073181152344,,[nan nan nan],,,,[nan nan nan],,,,,
"(VP
  (VP (VBD smiled))
  (CC and)
  (VP
    (VBD asked)
    (NP (PRP us))
    (SBAR
      (S
        (NP (PRP you))
        (VP
          (VBP want)
          (S
            (VP
              (TO to)
              (VP (VB start) (S (VP (VBG playing) (NP (NN golf))))))))))))",smiled and asked us you want to start playing golf,VP,(VP (VP (VBD smiled))),smiled,VP,"(VP
  (VP
    (VBD asked)
    (NP (PRP us))
    (SBAR
      (S
        (NP (PRP you))
        (VP
          (VBP want)
          (S
            (VP
              (TO to)
              (VP (VB start) (S (VP (VBG playing) (NP (NN golf))))))))))))",asked us you want to start playing golf,VP,(CC and),and,he smiled and asked us you want to start playing golf,V,V,V,True,True,False,False,False,0.9941985607147217,0.9712273478507996,-0.8185602426528931,,[0.949 0.53  0.536],0.949,0.53,0.536,[0.64266667 0.47666667 0.54466667],0.6426666666666666,0.47666666666666674,0.5446666666666666,0.9841355804523968,0.3110621588471775
